ispitanik	zadatak	modalitet	procenat	proporcija
1	cued	nula	18.18181818	0.181818182
1	cued	malo	27.27272727	0.272727273
1	cued	mnogo	45.45454545	0.454545455
2	cued	nula	27.27272727	0.272727273
2	cued	malo	36.36363636	0.363636364
2	cued	mnogo	18.18181818	0.181818182
3	cued	nula	18.18181818	0.181818182
3	cued	malo	9.090909091	0.090909091
3	cued	mnogo	36.36363636	0.363636364
4	cued	nula	45.45454545	0.454545455
4	cued	malo	54.54545455	0.545454545
4	cued	mnogo	36.36363636	0.363636364
5	cued	nula	18.18181818	0.181818182
5	cued	malo	36.36363636	0.363636364
5	cued	mnogo	54.54545455	0.545454545
6	cued	nula	45.45454545	0.454545455
6	cued	malo	72.72727273	0.727272727
6	cued	mnogo	63.63636364	0.636363636
7	cued	nula	36.36363636	0.363636364
7	cued	malo	36.36363636	0.363636364
7	cued	mnogo	45.45454545	0.454545455
8	cued	nula	72.72727273	0.727272727
8	cued	malo	63.63636364	0.636363636
8	cued	mnogo	45.45454545	0.454545455
9	cued	nula	27.27272727	0.272727273
9	cued	malo	54.54545455	0.545454545
9	cued	mnogo	63.63636364	0.636363636
10	cued	nula	63.63636364	0.636363636
10	cued	malo	72.72727273	0.727272727
10	cued	mnogo	72.72727273	0.727272727
11	cued	nula	81.81818182	0.818181818
11	cued	malo	81.81818182	0.818181818
11	cued	mnogo	45.45454545	0.454545455
12	cued	nula	54.54545455	0.545454545
12	cued	malo	45.45454545	0.454545455
12	cued	mnogo	18.18181818	0.181818182
13	cued	nula	72.72727273	0.727272727
13	cued	malo	90.90909091	0.909090909
13	cued	mnogo	72.72727273	0.727272727
14	cued	nula	63.63636364	0.636363636
14	cued	malo	54.54545455	0.545454545
14	cued	mnogo	45.45454545	0.454545455
15	cued	nula	36.36363636	0.363636364
15	cued	malo	27.27272727	0.272727273
15	cued	mnogo	81.81818182	0.818181818
16	cued	nula	27.27272727	0.272727273
16	cued	malo	27.27272727	0.272727273
16	cued	mnogo	18.18181818	0.181818182
17	cued	nula	18.18181818	0.181818182
17	cued	malo	72.72727273	0.727272727
17	cued	mnogo	63.63636364	0.636363636
18	cued	nula	36.36363636	0.363636364
18	cued	malo	72.72727273	0.727272727
18	cued	mnogo	45.45454545	0.454545455
19	cued	nula	27.27272727	0.272727273
19	cued	malo	9.090909091	0.090909091
19	cued	mnogo	54.54545455	0.545454545
20	cued	nula	18.18181818	0.181818182
20	cued	malo	63.63636364	0.636363636
20	cued	mnogo	63.63636364	0.636363636
21	cued	nula	63.63636364	0.636363636
21	cued	malo	81.81818182	0.818181818
21	cued	mnogo	72.72727273	0.727272727
22	cued	nula	9.090909091	0.090909091
22	cued	malo	45.45454545	0.454545455
22	cued	mnogo	90.90909091	0.909090909
23	cued	nula	0	0
23	cued	malo	27.27272727	0.272727273
23	cued	mnogo	45.45454545	0.454545455
24	cued	nula	18.18181818	0.181818182
24	cued	malo	9.090909091	0.090909091
24	cued	mnogo	36.36363636	0.363636364
25	cued	nula	9.090909091	0.090909091
25	cued	malo	0	0
25	cued	mnogo	45.45454545	0.454545455
26	cued	nula	27.27272727	0.272727273
26	cued	malo	72.72727273	0.727272727
26	cued	mnogo	45.45454545	0.454545455
27	cued	nula	81.81818182	0.818181818
27	cued	malo	72.72727273	0.727272727
27	cued	mnogo	81.81818182	0.818181818
28	cued	nula	27.27272727	0.272727273
28	cued	malo	45.45454545	0.454545455
28	cued	mnogo	36.36363636	0.363636364
29	cued	nula	9.090909091	0.090909091
29	cued	malo	54.54545455	0.545454545
29	cued	mnogo	63.63636364	0.636363636
30	cued	nula	72.72727273	0.727272727
30	cued	malo	81.81818182	0.818181818
30	cued	mnogo	72.72727273	0.727272727
31	cued	nula	45.45454545	0.454545455
31	cued	malo	54.54545455	0.545454545
31	cued	mnogo	54.54545455	0.545454545
32	cued	nula	90.90909091	0.909090909
32	cued	malo	100	1
32	cued	mnogo	100	1
33	cued	nula	100	1
33	cued	malo	90.90909091	0.909090909
33	cued	mnogo	81.81818182	0.818181818
34	cued	nula	81.81818182	0.818181818
34	cued	malo	81.81818182	0.818181818
34	cued	mnogo	90.90909091	0.909090909
35	cued	nula	100	1
35	cued	malo	54.54545455	0.545454545
35	cued	mnogo	90.90909091	0.909090909
36	cued	nula	90.90909091	0.909090909
36	cued	malo	100	1
36	cued	mnogo	81.81818182	0.818181818
37	cued	nula	54.54545455	0.545454545
37	cued	malo	72.72727273	0.727272727
37	cued	mnogo	90.90909091	0.909090909
38	cued	nula	54.54545455	0.545454545
38	cued	malo	81.81818182	0.818181818
38	cued	mnogo	100	1
39	cued	nula	54.54545455	0.545454545
39	cued	malo	45.45454545	0.454545455
39	cued	mnogo	36.36363636	0.363636364
40	cued	nula	72.72727273	0.727272727
40	cued	malo	81.81818182	0.818181818
40	cued	mnogo	72.72727273	0.727272727
41	cued	nula	0	0
41	cued	malo	36.36363636	0.363636364
41	cued	mnogo	54.54545455	0.545454545
42	cued	nula	81.81818182	0.818181818
42	cued	malo	72.72727273	0.727272727
42	cued	mnogo	81.81818182	0.818181818
43	cued	nula	45.45454545	0.454545455
43	cued	malo	81.81818182	0.818181818
43	cued	mnogo	90.90909091	0.909090909
44	cued	nula	27.27272727	0.272727273
44	cued	malo	54.54545455	0.545454545
44	cued	mnogo	63.63636364	0.636363636
45	cued	nula	54.54545455	0.545454545
45	cued	malo	54.54545455	0.545454545
45	cued	mnogo	36.36363636	0.363636364
46	cued	nula	54.54545455	0.545454545
46	cued	malo	72.72727273	0.727272727
46	cued	mnogo	90.90909091	0.909090909
47	cued	nula	90.90909091	0.909090909
47	cued	malo	54.54545455	0.545454545
47	cued	mnogo	90.90909091	0.909090909
48	free	nula	18.18181818	0.181818182
48	free	malo	18.18181818	0.181818182
48	free	mnogo	18.18181818	0.181818182
49	free	nula	27.27272727	0.272727273
49	free	malo	18.18181818	0.181818182
49	free	mnogo	45.45454545	0.454545455
50	free	nula	0	0
50	free	malo	18.18181818	0.181818182
50	free	mnogo	36.36363636	0.363636364
51	free	nula	0	0
51	free	malo	0	0
51	free	mnogo	36.36363636	0.363636364
52	free	nula	0	0
52	free	malo	36.36363636	0.363636364
52	free	mnogo	45.45454545	0.454545455
53	free	nula	18.18181818	0.181818182
53	free	malo	27.27272727	0.272727273
53	free	mnogo	36.36363636	0.363636364
54	free	nula	9.090909091	0.090909091
54	free	malo	36.36363636	0.363636364
54	free	mnogo	27.27272727	0.272727273
55	free	nula	45.45454545	0.454545455
55	free	malo	36.36363636	0.363636364
55	free	mnogo	45.45454545	0.454545455
56	free	nula	9.090909091	0.090909091
56	free	malo	45.45454545	0.454545455
56	free	mnogo	45.45454545	0.454545455
57	free	nula	0	0
57	free	malo	9.090909091	0.090909091
57	free	mnogo	9.090909091	0.090909091
58	free	nula	9.090909091	0.090909091
58	free	malo	18.18181818	0.181818182
58	free	mnogo	27.27272727	0.272727273
59	free	nula	18.18181818	0.181818182
59	free	malo	18.18181818	0.181818182
59	free	mnogo	27.27272727	0.272727273
60	free	nula	45.45454545	0.454545455
60	free	malo	36.36363636	0.363636364
60	free	mnogo	81.81818182	0.818181818
61	free	nula	0	0
61	free	malo	18.18181818	0.181818182
61	free	mnogo	9.090909091	0.090909091
62	free	nula	0	0
62	free	malo	0	0
62	free	mnogo	9.090909091	0.090909091
63	free	nula	0	0
63	free	malo	9.090909091	0.090909091
63	free	mnogo	45.45454545	0.454545455
64	free	nula	0	0
64	free	malo	27.27272727	0.272727273
64	free	mnogo	27.27272727	0.272727273
65	free	nula	18.18181818	0.181818182
65	free	malo	45.45454545	0.454545455
65	free	mnogo	36.36363636	0.363636364
66	free	nula	18.18181818	0.181818182
66	free	malo	0	0
66	free	mnogo	36.36363636	0.363636364
67	free	nula	9.090909091	0.090909091
67	free	malo	36.36363636	0.363636364
67	free	mnogo	27.27272727	0.272727273
68	free	nula	18.18181818	0.181818182
68	free	malo	18.18181818	0.181818182
68	free	mnogo	9.090909091	0.090909091
69	free	nula	27.27272727	0.272727273
69	free	malo	18.18181818	0.181818182
69	free	mnogo	9.090909091	0.090909091
70	free	nula	18.18181818	0.181818182
70	free	malo	9.090909091	0.090909091
70	free	mnogo	27.27272727	0.272727273
71	free	nula	18.18181818	0.181818182
71	free	malo	9.090909091	0.090909091
71	free	mnogo	45.45454545	0.454545455
72	free	nula	18.18181818	0.181818182
72	free	malo	18.18181818	0.181818182
72	free	mnogo	36.36363636	0.363636364
73	free	nula	9.090909091	0.090909091
73	free	malo	45.45454545	0.454545455
73	free	mnogo	45.45454545	0.454545455
74	free	nula	27.27272727	0.272727273
74	free	malo	27.27272727	0.272727273
74	free	mnogo	18.18181818	0.181818182
75	free	nula	18.18181818	0.181818182
75	free	malo	45.45454545	0.454545455
75	free	mnogo	9.090909091	0.090909091
76	free	nula	0	0
76	free	malo	18.18181818	0.181818182
76	free	mnogo	27.27272727	0.272727273
77	free	nula	63.63636364	0.636363636
77	free	malo	45.45454545	0.454545455
77	free	mnogo	63.63636364	0.636363636
78	free	nula	9.090909091	0.090909091
78	free	malo	45.45454545	0.454545455
78	free	mnogo	45.45454545	0.454545455
79	free	nula	45.45454545	0.454545455
79	free	malo	9.090909091	0.090909091
79	free	mnogo	27.27272727	0.272727273
80	free	nula	36.36363636	0.363636364
80	free	malo	36.36363636	0.363636364
80	free	mnogo	72.72727273	0.727272727
81	free	nula	36.36363636	0.363636364
81	free	malo	45.45454545	0.454545455
81	free	mnogo	36.36363636	0.363636364
82	free	nula	0	0
82	free	malo	18.18181818	0.181818182
82	free	mnogo	18.18181818	0.181818182
83	free	nula	36.36363636	0.363636364
83	free	malo	45.45454545	0.454545455
83	free	mnogo	63.63636364	0.636363636
84	free	nula	18.18181818	0.181818182
84	free	malo	18.18181818	0.181818182
84	free	mnogo	27.27272727	0.272727273
85	free	nula	27.27272727	0.272727273
85	free	malo	54.54545455	0.545454545
85	free	mnogo	45.45454545	0.454545455
86	free	nula	27.27272727	0.272727273
86	free	malo	36.36363636	0.363636364
86	free	mnogo	27.27272727	0.272727273
87	free	nula	9.090909091	0.090909091
87	free	malo	36.36363636	0.363636364
87	free	mnogo	27.27272727	0.272727273
88	free	nula	36.36363636	0.363636364
88	free	malo	72.72727273	0.727272727
88	free	mnogo	45.45454545	0.454545455
89	free	nula	45.45454545	0.454545455
89	free	malo	45.45454545	0.454545455
89	free	mnogo	45.45454545	0.454545455
90	free	nula	18.18181818	0.181818182
90	free	malo	18.18181818	0.181818182
90	free	mnogo	27.27272727	0.272727273
91	free	nula	18.18181818	0.181818182
91	free	malo	18.18181818	0.181818182
91	free	mnogo	36.36363636	0.363636364
