ispitanik	re? 1	re?2	modalitet	zadatak	response	malo dummy	mnogo dummy
a1	teorija	nauka	nula	cued	0	0	0
a1	znanje	memorija	nula	cued	0	0	0
a1	nasilje	agresija	nula	cued	0	0	0
a1	poštenje	moral	nula	cued	0	0	0
a1	ljubomora	zavist	nula	cued	0	0	0
a1	šansa	prilika	nula	cued	0	0	0
a1	optimizam	nada	nula	cued	0	0	0
a1	san	mašta	nula	cued	1	0	0
a1	verovanje	religija	nula	cued	0	0	0
a1	dogovor	politika	nula	cued	0	0	0
a1	snaga	sila	nula	cued	1	0	0
a1	plakat	bilbord	malo	cued	0	1	0
a1	odžak	krov	malo	cued	0	1	0
a1	igla	ubod	malo	cued	1	1	0
a1	sijalica	bandera	malo	cued	0	1	0
a1	sveska	olovka	malo	cued	0	1	0
a1	leptir	cvr?ak 	malo	cued	0	1	0
a1	šiške	trepavice	malo	cued	1	1	0
a1	fotografija	slika	malo	cued	0	1	0
a1	nož	kutla?a	malo	cued	0	1	0
a1	ekran	monitor	malo	cued	1	1	0
a1	cigla	kamen	malo	cued	0	1	0
a1	?arapa	patika	mnogo	cued	0	0	1
a1	narandža	breskva	mnogo	cued	0	0	1
a1	vosak	sve?a	mnogo	cued	0	0	1
a1	deterdžent	sapun	mnogo	cued	1	0	1
a1	autobus	automobil	mnogo	cued	1	0	1
a1	pepeljara	cigareta	mnogo	cued	1	0	1
a1	cimet	bosiljak	mnogo	cued	0	0	1
a1	kiša	žaba	mnogo	cued	1	0	1
a1	tastatura	kompjuter	mnogo	cued	1	0	1
a1	reka	voda	mnogo	cued	0	0	1
a1	cvet	p?ela	mnogo	cued	0	0	1
a2	teorija	nauka	nula	cued	0	0	0
a2	znanje	memorija	nula	cued	1	0	0
a2	nasilje	agresija	nula	cued	0	0	0
a2	poštenje	moral	nula	cued	0	0	0
a2	ljubomora	zavist	nula	cued	1	0	0
a2	šansa	prilika	nula	cued	0	0	0
a2	optimizam	nada	nula	cued	0	0	0
a2	san	mašta	nula	cued	1	0	0
a2	verovanje	religija	nula	cued	0	0	0
a2	dogovor	politika	nula	cued	0	0	0
a2	snaga	sila	nula	cued	0	0	0
a2	plakat	bilbord	malo	cued	0	1	0
a2	odžak	krov	malo	cued	1	1	0
a2	igla	ubod	malo	cued	1	1	0
a2	sijalica	bandera	malo	cued	0	1	0
a2	sveska	olovka	malo	cued	1	1	0
a2	leptir	cvr?ak 	malo	cued	0	1	0
a2	šiške	trepavice	malo	cued	0	1	0
a2	fotografija	slika	malo	cued	1	1	0
a2	nož	kutla?a	malo	cued	0	1	0
a2	ekran	monitor	malo	cued	0	1	0
a2	cigla	kamen	malo	cued	0	1	0
a2	?arapa	patika	mnogo	cued	0	0	1
a2	narandža	breskva	mnogo	cued	0	0	1
a2	vosak	sve?a	mnogo	cued	0	0	1
a2	deterdžent	sapun	mnogo	cued	0	0	1
a2	autobus	automobil	mnogo	cued	1	0	1
a2	pepeljara	cigareta	mnogo	cued	0	0	1
a2	cimet	bosiljak	mnogo	cued	0	0	1
a2	kiša	žaba	mnogo	cued	0	0	1
a2	tastatura	kompjuter	mnogo	cued	0	0	1
a2	reka	voda	mnogo	cued	0	0	1
a2	cvet	p?ela	mnogo	cued	1	0	1
a3	teorija	nauka	nula	cued	0	0	0
a3	znanje	memorija	nula	cued	0	0	0
